Date,price,prediction,volatility,signal,position,position_size,shares,capital,equity,returns,strategy_returns,trade_count,stop_loss,take_profit,cumulative_returns,strategy_cumulative_returns
2021-05-12,1.001509897397538,9.806187117464e-05,0.0595198813298042,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-41042.169988446316,0.00029383327808929494,0.00029383327808929494,6,0.9880707654400167,1.0046562316606704,1.001194335814777,1.0231964319555547
2021-05-13,0.9960527653294309,-0.0001371164617802,0.0632838370878325,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-40895.608517876135,-0.005448904780958941,-0.005448904780958941,6,0.9880707654400167,1.0046562316606704,0.9957389232116869,1.0176211320256119
2021-05-14,0.9959528816072769,0.000270292934067,0.0625958377702884,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-40892.925954027174,-0.00010027954906677294,-0.00010027954906677294,6,0.9880707654400167,1.0046562316606704,0.995639070961479,1.0175190854373715
2021-05-17,1.0019611637519497,-9.385627156354806e-05,0.0650052089745255,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-41054.289588942695,0.006032697184405578,0.006032697184405578,6,0.9880707654400167,1.0046562316606704,1.0016454599815525,1.0236574699591685
2021-05-18,1.0024969740809846,-0.0002535477805856,0.0646878872780041,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-41068.679775727614,0.0005347615740201039,0.0005347615740201039,6,0.9880707654400167,1.0046562316606704,1.0021811014843423,1.0242048826390613
2021-05-19,1.0080170514988993,6.853101154368915e-05,0.0665944968384638,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-41216.931761190644,0.005506328258970683,0.005506328258970683,6,0.9880707654400167,1.0046562316606704,1.007699439604052,1.0298444909273126
2021-05-20,1.003790828843355,-0.0001994163684046,0.0659400240168673,0,0,1.8890190159736509,0.0,-41216.931761190644,-41216.931761190644,-0.004192610282990783,0.0,6,0.9880707654400167,1.0046562316606704,1.003474548571404,1.0298444909273126
2021-05-21,1.0081134663069078,0.000304919763738,0.0669273260518401,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21283.5157022079,0.004306312968144654,-0.004306312968144654,7,1.0164885323863746,0.9955508671877078,1.0077958240331202,1.02540965824086
2021-05-24,1.004631643722185,-0.0001966915548755,0.0684063141613514,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21067.63004991723,-0.0034538002924194844,0.0034538002924194844,7,1.0164885323863746,0.9955508671877078,1.0043150985213753,1.028951218418342
2021-05-25,1.00721753951554,0.000301263180143,0.0681562799807329,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21227.964985578117,0.002573974062547224,-0.002573974062547224,7,1.0164885323863746,0.9955508671877078,1.0069001795355939,1.0263027246705068
2021-05-26,1.0100548965301839,-7.79343708245993e-05,0.0658003574801552,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21403.89143070359,0.0028170250252081974,-0.0028170250252081974,7,1.0164885323863746,0.9955508671877078,1.0097366425392322,1.0234116042116705
2021-05-27,1.0053853144422926,5.588106009979276e-05,0.0680331148511129,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21114.360373207317,-0.004623097322662861,0.004623097322662861,7,1.0164885323863746,0.9955508671877078,1.0050685317705146,1.0281429356590837
2021-05-28,1.0054342658582534,0.0003615169525321,0.0680353210433644,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21117.3955388736,4.868920925882314e-05,-4.868920925882314e-05,7,1.0164885323863746,0.9955508671877078,1.0051174677625774,1.0280928761925414
2021-05-31,1.0051768876838607,1.0845397814407188e-05,0.0669907040866954,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21101.437156815897,-0.0002559870725838964,0.0002559870725838964,7,1.0164885323863746,0.9955508671877078,1.0048601706844018,1.0283560546782622
2021-06-01,1.008699718317724,9.070813920558426e-05,0.0678119665981703,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21319.865457165855,0.0035046872615431823,-0.0035046872615431823,7,1.0164885323863746,0.9955508671877078,1.0083818913242315,1.0247519883131004
2021-06-02,1.0074542045874422,-4.616052562696327e-05,0.06092754886598,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21242.639080015375,-0.0012347715654754676,0.0012347715654754676,7,1.0164885323863746,0.9955508671877078,1.0071367700376839,1.0260173229299339
2021-06-03,1.0068019846789642,0.0001959729416838,0.0606344103324001,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21202.199075692202,-0.0006473941004048189,0.0006473941004048189,7,1.0164885323863746,0.9955508671877078,1.0064847556344607,1.0266815604917119
2021-06-04,1.0004446037218293,0.0001280180378997,0.063306768038301,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,20808.018355280634,-0.006314430298984819,0.006314430298984819,7,1.0164885323863746,0.9955508671877078,1.0001293777980163,1.0331644696446898
2021-06-07,1.0033596379475664,0.0003629299007213,0.0637294866168745,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,20988.761069752676,0.0029137387666371417,-0.0029137387666371417,7,1.0164885323863746,0.9955508671877078,1.003043493537759,1.030154098277174
2021-06-08,1.0054373160635472,-0.0001339438741112,0.0620253577344718,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21117.584662685476,0.0020707212423163313,-0.0020707212423163313,7,1.0164885323863746,0.9955508671877078,1.0051205170067947,1.0280209363030122
2021-06-09,1.0037223739250436,9.41162582337176e-05,0.0555092545609943,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21011.252018444473,-0.0017056678831236516,0.0017056678831236516,7,1.0164885323863746,0.9955508671877078,1.0034061152222675,1.029774398597243
2021-06-10,1.0044766026665368,0.0002814416885857,0.0548456966789429,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21058.01694108817,0.0007514316319798819,-0.0007514316319798819,7,1.0164885323863746,0.9955508671877078,1.0041601063169676,1.029000593540334
2021-06-11,1.0036974114071886,0.0001024084052127,0.0549322475728868,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,21009.704251630166,-0.0007757186750589895,0.0007757186750589895,7,1.0164885323863746,0.9955508671877078,1.0033811605697482,1.02979880851739
2021-06-14,0.9985426853928224,0.0001896897354077,0.0545612748616368,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,20690.09250780558,-0.005135737081496727,0.005135737081496727,7,1.0164885323863746,0.9955508671877078,0.998228058736535,1.035087584444774
2021-06-15,0.9995346630992034,0.0003080583157447,0.0546340118875789,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,20751.598730190228,0.0009934254397854225,-0.0009934254397854225,7,1.0164885323863746,0.9955508671877078,0.9992197238847914,1.0340593021059805
2021-06-16,0.9999346378638039,-7.27071180657298e-05,0.0505528962428738,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,20776.398618999738,0.0004001609742680934,-0.0004001609742680934,7,1.0164885323863746,0.9955508671877078,0.999619572623009,1.0336455119281989
2021-06-17,0.9890321638734265,0.0001007968635111,0.0623171373438977,-1,-1,1.5165296265955295,62003.63373995687,-41223.18243100397,20100.40561484098,-0.010903186645947915,0.010903186645947915,7,1.0164885323863746,0.9955508671877078,0.9887205338477577,1.0449155418704985
2021-06-18,0.9822337846770627,0.0004718482314543,0.0618271396481015,1,1,1.604695020699508,32838.43552050138,20097.18011276056,52352.200916936315,-0.006873769574630151,-0.006873769574630151,8,0.9745220498404644,0.99380138693196,0.9819242967243829,1.0377330332107308
2021-06-21,0.9789510789522679,0.0001189157653281,0.0613936324818009,1,1,1.604695020699508,32838.43552050138,20097.18011276056,52244.401996659864,-0.0033420818709408717,-0.0033420818709408717,8,0.9745220498404644,0.99380138693196,0.978642625333664,1.0342648444535607
2021-06-22,0.9821527719453454,0.0001062107551205,0.0603845888509212,1,1,1.604695020699508,32838.43552050138,20097.18011276056,52349.540585569484,0.0032705342094359047,0.0032705342094359047,8,0.9745220498404644,0.99380138693196,0.9818433095186299,1.037647443008963
2021-06-23,0.9841437608297926,-6.692383897842941e-05,0.0607541769457314,1,1,1.604695020699508,32838.43552050138,20097.18011276056,52414.92154567344,0.0020271682179378026,0.0020271682179378026,8,0.9745220498404644,0.99380138693196,0.9838336710706809,1.0397509289268552
2021-06-24,0.9838501425428477,0.0001422517433644,0.059532221893179,1,1,1.604695020699508,32838.43552050138,20097.18011276056,52405.27958048996,-0.0002983489797235839,-0.0002983489797235839,8,0.9745220498404644,0.99380138693196,0.9835401452986993,1.0394407202980431
