Date,volatility,regime
2010-09-07,0.11610744389633475,2
2010-09-08,0.12049814549405127,2
2010-09-09,0.12214034189909401,2
2010-09-10,0.12208966154859703,2
2010-09-13,0.08630492424916358,1
2010-09-14,0.09614354457777442,1
2010-09-15,0.09931294723103398,1
2010-09-16,0.09901212733931188,1
2010-09-17,0.09868879556706567,1
2010-09-20,0.09890344485607722,1
2010-09-21,0.09769459800181708,1
2010-09-22,0.1028982703791038,1
2010-09-23,0.10251082628318606,1
2010-09-24,0.10569605552111312,1
2010-09-27,0.11051407847217855,2
2010-09-28,0.11222039750489804,2
2010-09-29,0.1148113814631772,2
2010-09-30,0.10952813511629457,2
2010-10-01,0.11014356704378826,2
2010-10-04,0.11180684553308738,2
2010-10-05,0.11760933513251647,2
2010-10-06,0.12104702733506331,2
